"Date","Daily DD","Cumulative"
"09/01/2023","6","1216"
"09/02/2023","7","1223"
"09/03/2023","12","1236"
"09/04/2023","15","1251"
"09/05/2023","15","1266"
"09/06/2023","16","1281"
"09/07/2023","16","1297"
"09/08/2023","15","1312"
"09/09/2023","13","1325"
"09/10/2023","13","1337"
"09/11/2023","12","1349"
"09/12/2023","11","1360"
"09/13/2023","10","1370"
"09/14/2023","8","1378"
"09/15/2023","5","1383"
"09/16/2023","5","1389"
"09/17/2023","4","1393"
"09/18/2023","7","1399"
"09/19/2023","5","1404"
"09/20/2023","5","1409"
"09/21/2023","5","1414"
"09/22/2023","4","1418"
"09/23/2023","4","1422"
"09/24/2023","6","1428"
"09/25/2023","5","1433"
"09/26/2023","3","1436"
"09/27/2023","3","1439"
"09/28/2023","1","1440"
"09/29/2023","6","1446"
"09/30/2023","7","1453"
"10/01/2023","8","1461"
"10/02/2023","8","1469"
"10/03/2023","9","1478"
"10/04/2023","9","1487"
"10/05/2023","7","1494"
"10/06/2023","10","1504"
